Lambda,Packets,Served Packets,Served %,Mismatched Packets,Mismatch %,Blocked Packets,Block %,Throughput,Average Wait Time
0.01,1496773,104719,6.99631807896054,1392054,93.0036819210395,0,0,65.2404436116499,6.51219931435556
0.02,1496415,104696,6.99645486044981,1391717,93.0034114867868,2,0.000133652763438,129.342154057851,6.62512416902269
0.03,1493189,107225,7.18093958634841,1385928,92.8166494663435,36,0.002410947308077,199.945282713931,6.79014222429471
0.04,1492915,104255,6.98331787141264,1388486,93.0050270778979,174,0.011655050689423,257.911503806694,6.9318881588413
0.05,1490147,103388,6.93810744845978,1386625,93.0529001501194,134,0.008992401420799,319.692726850386,7.13973575269857
0.06,1495716,88530,5.91890439094053,1406907,94.0624423353096,279,0.01865327374983,327.498153631134,7.60224782559584
0.07,1427859,4753,0.332876005263825,1422813,99.6466037612958,293,0.020520233440417,20.4750563389558,8.87755102040816
0.08,1249883,2124,0.169935906000802,1247421,99.8030215628183,338,0.027042531180919,10.505771999629,10.7532956685499
0.09,1111025,1372,0.123489570441709,1109448,99.8580589995725,205,0.018451429985824,7.50460920122523,10.1392128279883
0.1,999918,953,0.09530781524085,998878,99.8959914713007,87,0.008700713458504,5.83479246549915,9.90451206715635
